332	Recollects	Greenery Press
333	Frotteur	Yale University Press
334	Britts	Zed Books
335	The Multimanned Roasted Augend	Ablex Publishing
336	Wearish Embroil Cupcake	Carnegie Mellon University Press
337	Minimises Necrophilism Rondo	Parragon
338	On Outmoved	Doubleday
339	Tweezers Unwisest	Europa Press
340	The Interplant	Zed Books
341	Merest Waged	Target Books
342	Ambages Greyer Diddlysquat	Chronicle Books
343	On Lucks	Happy House
344	Counterraiding Suctorian Isopod	Focal Press
345	Eath Hesitations	Pavilion Books
346	The Instantiation	BBC Books
347	On Penstock Sandarac Misanthropies	Ablex Publishing
348	The Buckram Pupils	UCL Press
349	The Promine	Princeton University Press
350	Smashup	Vintage Books
351	The Cooperies Saws Lymph	Kensington Books
352	On Swished Bulimiac	Express Publishing
353	Crummy Gleamiest Videotaped	HarperCollins
354	Discounter	Ladybird Books
355	Misnaming	BBC Books
356	Cells	Carnegie Mellon University Press
357	Pneumatically	Harvest House
358	Graciousness Apiarians Precommitment	Random House
359	Constants Antihuman	Macmillan Publishers
360	Kinged Debased Alkalified	Faber and Faber
361	Gawker Veinless Typograph	Dobson Books
362	Freestyler Contumacy Nudniks	Bellevue Literary Press
363	Folk Splinting	Focal Press
364	On Pyroninophilic Acidimetries	Bellevue Literary Press
365	Acronic Cashew Claying	Holland Park Press
366	The Gamboling	Bison Books
367	The Thermochemist	Cambridge University Press
368	The Selfness	Chronicle Books
369	Plenists Panacea	Dobson Books
370	Deeryard	Doubleday
371	Unify Insincerity	McGraw-Hill Education
372	On Antirrhinum Washed Aspiratae	Forum Media Group
373	Brassiness	Huffington Post
374	On Swiped Altimetry Overpayment	Forum Media Group
375	Luthern Damnably Unjoint	Free Press
376	Lifeless	SAGE Publications
377	Reportorial Rancidities	Doubleday
378	On Transfer Wannigan Explorer	Target Books
379	On Crankous Loopholing	Europa Press
380	On Charismatics Seminarists	Island Press
381	The Scotches	George Newnes
382	Contraception	Bison Books
383	On Processions Alterabilities Unfoldment	Workman Publishing
384	Guttations Nonplussed	Cambridge University Press
385	Gangues Turkois Cranreuchs	Grafton
386	The Beerier Misfocussed	Free Press
387	On Pastinas	UCL Press
388	On Biflagellate	Express Publishing
389	The Zincates Bluming Ectosarcs	Capstone Publishers
390	The Throbs	Europa Press
391	Suitlike Acciaccatura Resentments	New Village Press
392	Tazzas	Orion Books
393	Ultrasmall Microphyllous	Parragon
394	On Fawnier	Capstone Publishers
395	On Ongoing	Carnegie Mellon University Press
396	Mythy Skijorer	Faber and Faber
397	On Biophysical Weanlings Anon	George Newnes
398	Misdirections Malars	Carnegie Mellon University Press
399	The Outpouring Uprooter Fluorouracil	Greenery Press
400	Flask Zecchini Hierarchizes	John Wiley & Sons
401	On Putlogs	Happy House
402	The Runkled	Kensington Books
403	Doggrels	Pavilion Books
404	The Succinct	Focal Press
405	Mincemeat Cabbed	HarperCollins
406	Faker Capitations	Express Publishing
407	Slurb	Grafton
408	The Cheekinesses	Chronicle Books
409	Smoochy Rode	Harvest House
410	Disobliged	Forum Media Group
411	On Depictions	Chronicle Books
412	Reputational	Ladybird Books
413	The Presidentship Momenta Staggerer	Macmillan Publishers
414	Mats	Princeton University Press
415	On Shoaled Reseeing Bystreets	Dobson Books
416	The Bootlessly Housecleaned	Faber and Faber
417	Vituperates Tolerantly Hambones	Doubleday
418	On Bitting Massaging	Greenery Press
419	On Ingraining Billable Hogtied	Free Press
420	Adobes Iroko Incontrovertible	Focal Press
421	On Progressivist	Random House
422	The Biomolecular Fussiness	SAGE Publications
423	The Disesteemed Preachiest	Target Books
424	On Resistors Queridas	UCL Press
425	Revoices	Happy House
426	Subpanel Anthemia	Holland Park Press
427	The Dieters Megalopolis	McGraw-Hill Education
428	On Gibs Youthfulness Rafflesia	Europa Press
429	On Fishmongers	Huffington Post
430	The Sharer Palettes Crepier	New Village Press
431	The Pomaces	Island Press
432	Pilular Sulfurizing Solemnifies	Orion Books
433	On Telegraphed Pharmacognostical	Forum Media Group
434	Bioscopy	George Newnes
435	Felicitated Hybridities Earldom	Vintage Books
436	The Cypsela Psilocin Wildcatters	Express Publishing
437	Nephrologies Trichinizing	Workman Publishing
438	On Coolness Outcome	Free Press
439	Voraciousnesses Couched Herbalists	Grafton
440	On Quassias Sunk	Parragon
441	The Ornithischians	Vintage Books
442	Ctenophoran	Dobson Books
443	Sparged Transplanters	Doubleday
444	Anconeal Staithes Interludes	George Newnes
445	Scepters Ricrac Photochemistries	Pavilion Books
446	Stingers Pedantries Epilimnions	Workman Publishing
447	Restimulation	Faber and Faber
448	The Nudeness	Focal Press
449	Isoprenalines	Grafton
450	The Syllogists	John Wiley & Sons
451	Dimensioning Toleration	Greenery Press
452	On Ennobles Measurements	Xoanon Publishing
453	Disrelation	Greenery Press
454	On Outsizes	Europa Press
455	Dovecot Capacitate Scourger	Kensington Books
456	Antiobscenity	Forum Media Group
457	Acquittals Overdried	Happy House
458	Myelomata Unimpassioned Teamsters	Ladybird Books
459	Kingcrafts Lingy	Free Press
460	Dichasia Scabby Overservices	Xoanon Publishing
461	Apologetically Lycopods Supremo	Express Publishing
462	Gaggling Coastward Boxboard	Macmillan Publishers
463	Busier Thiaminase Kaolinic	Faber and Faber
464	Gustier Cutouts	George Newnes
465	On Cacaos	Princeton University Press
466	Approve	HarperCollins
467	The Flambe Solemnifying	Yale University Press
468	On Splay Hearse	HarperCollins
469	The Cytoplasmically Knackwursts	Happy House
470	On Intaglios Trills	Xoanon Publishing
471	Amuses	Harvest House
472	Adobo	Harvest House
473	Rinsers Anglicisms Retaped	McGraw-Hill Education
474	On Vulgarians Beclowns Withier	Holland Park Press
475	The Comate Unlimbered Subindexes	Random House
476	The Typecase	Focal Press
477	Consociate	Zed Books
478	Evidencing Winiest Waterfowls	Ablex Publishing
479	Shifts Succorer	Yale University Press
480	On Intramolecular Tenches Considerables	Grafton
481	On Taborers Cairny	BBC Books
482	Wackiness	Huffington Post
483	Clitella Etyma	Island Press
484	On Amphiphiles	Yale University Press
485	The Regroove	Bellevue Literary Press
486	On Translucencies Consigliere	Zed Books
487	Kolo Fidos	John Wiley & Sons
488	Logicians Gibbers Whore	New Village Press
489	The Mobilizing Complimentary Susurrations	HarperCollins
490	Promenaders Troopers Mismakes	Orion Books
491	The Prates	Parragon
492	On Noisettes Antitheft Leukemogenesis	Greenery Press
493	The Fleered Counterdemonstration	Happy House
494	The Hopefulnesses Spacer Stoup	Forum Media Group
495	The Paprica Coalless Isomerizes	Ablex Publishing
496	Steepness Blessedest	SAGE Publications
497	On Undercuts	Harvest House
498	Doorway	Holland Park Press
499	On Rewrapped Exorcize	Pavilion Books
500	Bounced Projectiles	Zed Books
3001	Do Androids Dream of Electric Sheep?	Holland Park Press
3002	The Hitchhiker's Guide to the Galaxy	Happy House
3003	Something Wicked This Way Comes	Carnegie Mellon University Press
3004	Pride and Prejudice and Zombies	Island Press
3005	I Was Told There'd Be Cake	Kensington Books
3006	The Curious Incident of the Dog in the Night-Time	Zed Books
3007	The Hollow Chocolate Bunnies of the Apocalypse	Yale University Press
3008	"Eats, Shoots & Leaves: The Zero Tolerance Approach to Punctuation"	Forum Media Group
3009	To Kill a Mockingbird	Forum Media Group
3010	The Unbearable Lightness of Being	Huffington Post
3011	"Are You There, Vodka? It's Me, Chelsea"	HarperCollins
3012	Midnight in the Garden of Good and Evil	Chronicle Books
3013	The Perks of Being a Wallflower	John Wiley & Sons
3014	The Man Without Qualities	Ladybird Books
3015	"The Earth, My Butt, and Other Big Round Things"	Ablex Publishing
3016	Cloudy With a Chance of Meatballs	Zed Books
3017	Where the Wild Things Are	Free Press
3018	One Hundred Years of Solitude	Free Press
3019	Stop Dressing Your Six-Year-Old Like a Skank	New Village Press
3020	Me Talk Pretty One Day	Dobson Books
3021	John Dies at the End	Kensington Books
3022	The Long Dark Tea-Time of the Soul	Macmillan Publishers
3023	A Heartbreaking Work of Staggering Genius	BBC Books
3024	How to Lose Friends and Alienate People	Island Press
3025	An Arsonist's Guide to Writers' Homes in New England	Harvest House
3026	Another Bullshit Night in Suck City	Doubleday
3027	"Alexander and the Terrible, Horrible, No Good, Very Bad Day"	Ladybird Books
3028	I Have No Mouth and I Must Scream	McGraw-Hill Education
3029	"So Long, and Thanks for All the Fish"	Bellevue Literary Press
3030	A Thousand Splendid Suns	Ablex Publishing
3031	A Clockwork Orange	George Newnes
3032	Neverwhere	George Newnes
3033	The Zombie Survival Guide: Complete Protection from the Living Dead	Orion Books
3034	The Silence of the Lambs	New Village Press
3035	I Am America	Bison Books
3036	The Devil Wears Prada	BBC Books
3037	Extremely Loud and Incredibly Close	Grafton
3038	When You Are Engulfed in Flames	Grafton
3039	The Grapes of Wrath	Parragon
3040	"A Gentle Madness: Bibliophiles, Bibliomanes, and the Eternal Passion for Books"	John Wiley & Sons
3041	I Still Miss My Man But My Aim Is Getting Better	Holland Park Press
3042	Their Eyes Were Watching God	Europa Press
3043	Go the Fuck to Sleep	Macmillan Publishers
3044	A Wrinkle in Time	Orion Books
3045	The Guernsey Literary and Potato Peel Pie Society	Cambridge University Press
3046	The Man Who Mistook His Wife for a Hat and Other Clinical Tales	Bellevue Literary Press
3047	The Gordonston Ladies Dog Walking Club	Greenery Press
3048	For Whom the Bell Tolls	Kensington Books
3049	A Confederacy of Dunces	Huffington Post
3050	The Fourth Monkey	Express Publishing
3051	When Will Jesus Bring the Pork Chops?	McGraw-Hill Education
3052	Love in the Time of Cholera	Parragon
3053	Tequila Makes Her Clothes Fall Off	Capstone Publishers
3054	Fear and Loathing in Las Vegas	Bison Books
3055	If on a Winter's Night a Traveler	Happy House
3056	The Restaurant at the End of the Universe	Greenery Press
3057	Zen and the Art of Motorcycle Maintenance: An Inquiry Into Values	Pavilion Books
3058	How to Shit in the Woods: An Environmentally Sound Approach to a Lost Art	Carnegie Mellon University Press
3059	Send More Idiots	Cambridge University Press
3060	No Country for Old Men	HarperCollins
3061	Brave New World	Ladybird Books
3062	And Then There Were None	Island Press
3063	All Quiet on the Western Front	Faber and Faber
3064	The Sound and the Fury	New Village Press
3065	The Moon is a Harsh Mistress	Pavilion Books
3066	The Catcher in the Rye	Chronicle Books
3067	The Electric Kool-Aid Acid Test	Capstone Publishers
3068	The Man Who Was Thursday: A Nightmare	Harvest House
3069	I Hope They Serve Beer in Hell	Happy House
3070	The Lone Ranger and Tonto Fistfight in Heaven	Princeton University Press
3071	The Spy Who Came In from the Cold	Focal Press
3072	The Particular Sadness of Lemon Cake	Orion Books
3073	As I Lay Dying	Princeton University Press
3074	Of Mice and Men	Dobson Books
3075	Shit my History Teacher DID NOT tell me!	Carnegie Mellon University Press
3076	Nostradamus Ate My Hamster	Holland Park Press
3077	Fuck This Book	HarperCollins
3078	What to Say When You Talk to Yourself	Random House
3079	Don't Pee on My Leg and Tell Me It's Raining	Macmillan Publishers
3080	Hard-Boiled Wonderland and the End of the World	John Wiley & Sons
3081	Well-Behaved Women Seldom Make History	Forum Media Group
3082	The Baby Jesus Butt Plug	Parragon
3083	"Life, the Universe and Everything"	Random House
3084	In God We Trust: All Others Pay Cash	Doubleday
3085	"She Got Up Off The Couch: And Other Heroic Acts From Mooreland, Indiana"	Chronicle Books
3086	The Effect of Gamma Rays on Man-in-the-Moon Marigolds	Huffington Post
3087	"Lamb: The Gospel According to Biff, Christ's Childhood Pal"	McGraw-Hill Education
3088	This Is Not a Novel	Kensington Books
3089	I Capture the Castle	Free Press
3090	Catch-22	Pavilion Books
3091	On Bullshit	SAGE Publications
3092	The Importance of Being Earnest	Europa Press
3093	"Don't Bend Over in the Garden, Granny, You Know Them Taters Got Eyes"	Dobson Books
3094	Dogshit Saved My Life	Island Press
3095	A Short History of Tractors in Ukrainian	Harvest House
3096	"Tinker, Tailor, Soldier, Spy"	SAGE Publications
3097	Table 21	Doubleday
3098	How to Talk About Books You Haven't Read	John Wiley & Sons
3099	Sense and Sensibility and Sea Monsters	New Village Press
3100	Captain Underpants and the Perilous Plot of Professor Poopypants	Ladybird Books
3101	The Lust Lizard of Melancholy Cove	George Newnes
3102	The Haunted Vagina	Princeton University Press
3103	There's a Wocket in My Pocket!	Target Books
3104	A Streetcar Named Desire	Express Publishing
3105	Hitler the Cat Goes West	Europa Press
3106	One Flew Over the Cuckoo's Nest	Kensington Books
3107	Even God is Single:	Holland Park Press
3108	"This Book Is Full of Spiders: Seriously, Dude, Don't Touch It"	Target Books
3109	The Heart is a Lonely Hunter	Grafton
3110	The Hunger Games	Random House
3111	The Grass Is Always Greener over the Septic Tank	UCL Press
3112	Tender Is the Night	Faber and Faber
3113	Practical Demonkeeping	Express Publishing
3114	Brain: The Man Who Wrote the Book That Changed the World	Ladybird Books
3115	"I Gave You My Heart, but You Sold It Online"	Huffington Post
3116	Half Asleep in Frog Pajamas	UCL Press
3117	Atlas Shrugged	Faber and Faber
3118	Reading Lolita in Tehran	Macmillan Publishers
3119	Requiem for a Dream	Orion Books
3120	Steal This Book	Macmillan Publishers
3121	Go-Go Girls of the Apocalypse	Greenery Press
3122	Eeeee Eee Eeee	SAGE Publications
3123	Zombies Vs. Unicorns	Vintage Books
3124	The Forest of Hands and Teeth	Focal Press
3125	The Stinky Cheese Man and Other Fairly Stupid Tales	Focal Press
3126	"Since You're Leaving Anyway, Take Out the Trash"	McGraw-Hill Education
3127	Naked Lunch	Island Press
3128	"Smashed, Squashed, Splattered, Chewed, Chunked and Spewed"	Vintage Books
3129	Green Eggs and Ham	Workman Publishing
3130	Like Water for Chocolate	Forum Media Group
3131	HELP! A Bear is Eating Me!	Forum Media Group
3132	You Suck	New Village Press
3133	The Faggiest Vampire	John Wiley & Sons
3134	The Lovely Bones	Parragon
3135	The Crimson Petal and the White	McGraw-Hill Education
3136	Infinite Jest	Happy House
3137	Gravity's Rainbow	Target Books
3138	High Heels and Dirty Deals - Globetrotting Tales	Xoanon Publishing
3139	Saving Fish from Drowning	Free Press
3140	We Have Always Lived in the Castle	Free Press
3141	I Hate Myself and Want to Die: The 52 Most Depressing Songs You've Ever Heard	Orion Books
3142	"Girl, Interrupted"	Kensington Books
3143	The Stray Shopping Carts of Eastern North America: A Guide to Field Identification	Workman Publishing
3144	The Girl Who Circumnavigated Fairyland in a Ship of Her Own Making	Yale University Press
3145	The Art of Racing in the Rain	George Newnes
3146	"Get Your Tongue Out of My Mouth, I'm Kissing You Goodbye!"	Pavilion Books
3147	Special Topics in Calamity Physics	New Village Press
3148	Everything That Rises Must Converge: Stories	HarperCollins
3149	All Fun and Games Until Somebody Loses an Eye	UCL Press
3150	SG - Suicide Game	Zed Books
3151	"Angus, Thongs and Full-Frontal Snogging"	Grafton
3152	Up the Down Staircase	George Newnes
3153	"Oh, The Places You'll Go!"	Parragon
3154	The Pit and the Pendulum	Ladybird Books
3155	Walter the Farting Dog: Trouble At the Yard Sale	Xoanon Publishing
3156	The Ultimate Hitchhiker's Guide to the Galaxy	Ablex Publishing
3157	Crime and Punishment	Greenery Press
